Resolver IP,Last Event Date,Attempted Rankings,Successful Rankings,Top 10 Count,Top 25 Count,Top 50 Count,Top 75 Count,Top 100 Count,Top 200 Count
24.222.0.75,2020-01-30,727902,2204,123,168,265,269,279,1100
24.237.132.5,2020-01-30,727902,13510,276,293,665,823,1346,10107
24.239.198.30,2020-01-30,727902,2321,104,157,305,300,282,1173
24.244.65.8,2020-01-31,727902,3299,106,167,315,359,481,1871
24.244.65.9,2020-01-30,727902,2174,118,152,288,281,254,1081
24.244.175.2,2020-01-31,727902,24912,1120,4495,3954,2230,2031,11082
24.244.175.133,2020-01-31,727902,2238,132,191,289,263,288,1075
24.247.15.53,2020-01-31,727902,19137,1457,977,2118,1847,1371,11367
24.247.24.53,2020-01-31,727902,17733,1121,544,1506,2136,1514,10912
35.8.2.45,2020-01-30,727902,60376,340,1195,5693,7400,8509,37239
35.9.20.10,2020-01-31,727902,21236,212,527,1980,3665,3956,10896
35.9.20.31,2020-01-31,727902,19594,225,522,2113,3697,3362,9675
38.96.4.10,2020-01-30,727902,2093,96,164,249,267,234,1083
38.100.136.136,2020-01-30,727902,2150,119,157,242,279,282,1071
38.102.194.214,2020-01-31,727902,81113,1677,5050,11747,13510,12666,36463
38.116.192.11,2020-01-29,727902,6167,293,316,462,599,637,3860
38.119.98.220,2020-01-31,727902,122852,2305,5253,14448,17207,16419,67220
38.218.181.11,2020-01-30,727902,18064,165,397,973,2230,3171,11128
41.157.9.4,2020-01-31,727902,2524,156,289,299,319,254,1207
41.157.9.5,2020-01-31,727902,2477,153,267,276,290,298,1193
41.160.0.36,2020-01-31,727902,2601,351,224,292,281,302,1151
41.160.0.37,2020-01-30,727902,3224,345,241,370,375,376,1517
41.204.224.2,2020-01-31,727902,43552,477,1399,4899,6593,7816,22368
41.204.224.22,2020-01-30,727902,2083,114,147,213,259,252,1098
41.204.224.131,2020-01-31,727902,56422,535,1854,6756,9191,10158,27928
41.207.160.45,2020-01-31,727902,2055,98,160,263,243,252,1039
41.207.177.17,2020-01-31,727902,2128,101,159,270,254,245,1099
41.211.233.10,2020-01-31,727902,5393,143,237,455,495,586,3477
41.221.20.4,2020-01-30,727902,2940,830,178,283,275,280,1094
43.224.255.1,2020-01-29,727902,2076,88,159,279,251,273,1026
57.67.127.195,2020-01-31,727902,2209,99,149,302,278,267,1114
57.73.127.195,2020-01-31,727902,2157,103,170,275,271,259,1079
58.6.115.42,2020-01-29,727902,3937,175,205,392,1219,575,1371
58.20.57.4,2020-01-30,727902,2107,111,153,276,261,247,1059
58.20.127.170,2020-01-31,727902,14686,662,2292,2195,1945,1257,6335
58.22.96.66,2020-01-31,727902,2227,123,180,263,289,270,1102
58.28.4.2,2020-01-30,727902,2275,125,166,260,284,281,1159
58.28.6.2,2020-01-31,727902,2206,138,176,278,284,292,1038
58.64.124.150,2020-01-30,727902,13082,1502,1591,2299,2077,1531,4082
58.69.254.3,2020-01-31,727902,2254,223,153,280,263,281,1054
58.69.254.8,2020-01-31,727902,2282,232,146,247,273,272,1112
58.147.79.9,2020-01-29,727902,3300,309,285,538,427,374,1367
59.185.0.23,2020-01-30,727902,2402,334,147,278,240,268,1135
59.185.0.50,2020-01-31,727902,2477,364,165,281,261,273,1133
59.185.3.10,2020-01-31,727902,2554,376,170,282,244,283,1199
59.185.3.12,2020-01-30,727902,2491,385,164,267,287,278,1110
60.191.134.206,2020-01-31,727902,2403,229,171,280,296,309,1118
60.191.244.2,2020-01-31,727902,2579,232,167,327,302,305,1246
60.191.244.5,2020-01-29,727902,2540,230,178,316,290,284,1242
60.234.1.1,2020-01-30,727902,2192,185,166,285,249,255,1052
61.1.96.69,2020-01-30,727902,5494,792,483,451,483,553,2732
61.1.96.71,2020-01-30,727902,8657,1259,802,697,707,856,4336
61.8.0.113,2020-01-31,727902,46115,5483,9893,4183,3824,4608,18124
61.9.133.193,2020-01-31,727902,6022,1697,1637,1020,328,271,1069
