Resolver IP,Last Event Date,Attempted Rankings,Successful Rankings,Top 10 Count,Top 25 Count,Top 50 Count,Top 75 Count,Top 100 Count,Top 200 Count
72.46.0.2,2020-01-30,727902,151279,1112,3133,10131,17395,18491,101017
72.51.175.10,2020-01-31,727902,17234,291,305,723,1095,1856,12964
72.51.175.11,2020-01-30,727902,17342,294,334,718,1091,1948,12957
72.214.195.244,2020-01-31,727902,12108,199,180,747,1779,1727,7476
72.249.0.34,2020-01-31,727902,42314,1669,3345,5747,4190,4284,23079
72.249.191.254,2020-01-31,727902,47984,1594,3519,5700,4679,5082,27410
74.40.148.80,2020-01-30,727902,1509,70,117,176,192,178,776
74.82.42.42,2020-01-31,727902,551859,145676,131320,114469,60714,36230,63450
74.84.119.150,2020-01-31,727902,4227,247,165,472,421,357,2565
74.84.119.153,2020-01-31,727902,10486,373,293,657,994,1093,7076
74.118.212.1,2020-01-31,727902,53289,2213,4155,8751,7474,6441,24255
74.128.19.102,2020-01-31,727902,2076,417,123,183,220,204,929
74.222.0.8,2020-01-30,727902,29144,1393,2882,3413,3215,3756,14485
75.75.75.75,2020-01-31,727902,59745,21323,10862,11629,6660,3305,5966
75.75.76.76,2020-01-31,727902,54854,7262,3452,6200,12282,9499,16159
75.95.21.12,2020-01-29,727902,25422,321,1079,3746,5115,4147,11014
75.127.177.114,2020-01-27,727902,1555,74,108,189,196,207,781
75.154.132.68,2020-01-31,727902,2843,512,190,509,457,272,903
75.154.132.100,2020-01-31,727902,2898,508,173,573,470,271,903
76.8.238.5,2020-01-31,727902,2884,111,111,205,249,317,1891
76.10.191.198,2020-01-31,727902,3629,163,219,272,314,474,2187
76.10.191.199,2020-01-29,727902,3771,176,215,242,353,456,2329
76.14.0.8,2020-01-30,727902,24557,382,1065,3446,3575,5527,10562
76.14.0.9,2020-01-31,727902,48281,400,1449,5483,7696,7856,25397
76.14.96.13,2020-01-30,727902,23425,229,339,1341,3249,2854,15413
76.14.96.14,2020-01-31,727902,23151,224,311,1395,3233,2813,15175
76.164.128.4,2020-01-31,727902,23159,244,285,734,1967,3212,16717
77.40.0.2,2020-01-30,727902,1542,105,113,191,175,195,763
77.40.0.3,2020-01-31,727902,1662,108,119,199,204,204,828
77.50.0.3,2020-01-29,727902,1725,129,114,190,194,224,874
77.74.8.40,2020-01-30,727902,1826,86,145,230,217,252,896
77.75.72.226,2020-01-30,727902,1492,62,100,183,168,191,788
77.77.64.71,2020-01-30,727902,2030,435,122,199,201,191,882
77.87.152.2,2020-01-31,727902,3446,209,163,348,351,375,2000
77.87.152.9,2020-01-30,727902,87191,1925,2237,3559,6115,14172,59183
77.105.0.18,2020-01-31,727902,7410,482,562,600,543,576,4647
77.105.0.19,2020-01-31,727902,7131,476,559,577,495,580,4444
77.105.2.231,2020-01-29,727902,1617,76,103,192,217,186,843
77.106.184.184,2020-01-31,727902,1527,67,100,214,188,210,748
77.220.15.4,2020-01-29,727902,20308,165,573,2300,3353,3669,10248
77.239.239.5,2020-01-29,727902,2343,114,169,294,475,299,992
77.242.226.226,2020-01-30,727902,13292,949,1018,788,979,949,8609
77.243.34.11,2020-01-31,727902,29736,1836,2209,2778,2473,2904,17536
77.244.144.2,2020-01-31,727902,1736,74,108,205,212,233,904
78.47.115.194,2020-01-31,727902,53610,527,3099,8806,9272,10731,21175
78.47.115.197,2020-01-31,727902,54579,614,3121,9097,9351,10743,21653
78.47.115.198,2020-01-31,727902,8916,106,279,903,1280,1106,5242
78.137.164.40,2020-01-31,727902,6421,309,181,325,377,473,4756
78.143.192.10,2020-01-31,727902,84905,2510,6838,15106,15137,12986,32328
78.143.192.20,2020-01-30,727902,83519,477,1720,8934,15751,17174,39463
78.159.101.37,2020-01-31,727902,1514,74,106,173,191,193,777
78.159.128.3,2020-01-31,727902,1684,108,121,226,190,230,809
79.98.184.19,2020-01-31,727902,3259,460,306,312,313,340,1528
79.140.64.2,2020-01-31,727902,57622,2836,2731,1686,2196,2826,45347
79.171.58.3,2020-01-31,727902,2698,90,120,318,341,394,1435
79.171.58.4,2020-01-31,727902,1582,59,125,191,218,181,808
79.171.120.3,2020-01-31,727902,1579,77,118,188,200,184,812
80.10.246.2,2020-01-31,727902,7132,1956,1697,1029,535,760,1155
80.10.246.3,2020-01-30,727902,7459,2597,2094,1136,436,260,936
80.10.246.129,2020-01-30,727902,7350,2427,1477,1006,744,599,1097
80.48.254.129,2020-01-30,727902,1546,74,126,196,195,186,769
80.64.65.69,2020-01-30,727902,13320,616,853,1280,1058,1196,8317
80.64.99.68,2020-01-30,727902,3712,168,406,723,562,360,1493
80.67.0.2,2020-01-31,727902,84183,4176,4370,3826,5358,11639,54814
80.68.112.100,2020-01-30,727902,1547,62,119,192,192,203,779
80.69.100.12,2020-01-30,727902,1522,79,97,195,192,177,782
80.69.100.174,2020-01-31,727902,4858,1492,954,1191,236,201,784
80.69.100.198,2020-01-31,727902,4711,1866,1003,660,219,197,766
80.69.100.206,2020-01-31,727902,4552,1257,1191,844,251,204,805
80.70.224.2,2020-01-31,727902,1552,86,119,203,179,195,770
80.71.245.245,2020-01-30,727902,4704,733,441,504,464,436,2126
80.72.146.2,2020-01-31,727902,145818,5877,9092,12540,21306,36195,60808
80.73.1.1,2020-01-31,727902,166199,7414,3509,4679,7200,20180,123217
80.74.96.3,2020-01-30,727902,1655,75,116,188,203,224,849
80.76.32.10,2020-01-30,727902,1632,130,116,172,207,191,816
80.76.33.227,2020-01-30,727902,1607,126,102,184,181,198,816
80.76.39.10,2020-01-31,727902,1647,120,111,206,196,234,780
80.77.113.1,2020-01-30,727902,1587,67,118,194,206,221,781
80.78.66.66,2020-01-29,727902,41836,1522,1443,1990,1988,2411,32482
80.78.66.67,2020-01-25,727902,2914,145,353,378,329,329,1380
80.78.208.2,2020-01-24,727902,13904,267,1159,1628,1394,1045,8411
80.81.6.17,2020-01-26,727902,2102,325,163,268,231,232,883
80.81.7.3,2020-01-31,727902,2140,358,156,264,229,244,889
80.81.208.146,2020-01-31,727902,7617,1021,811,693,662,726,3704
80.83.47.10,2020-01-31,727902,1586,81,132,213,190,205,765
80.83.47.11,2020-01-30,727902,2366,86,150,333,318,229,1250
80.88.192.2,2020-01-30,727902,40084,249,726,2966,7312,6419,22412
80.88.198.51,2020-01-31,727902,13950,133,224,741,2288,3508,7056
80.89.32.10,2020-01-31,727902,5026,131,246,525,772,701,2651
80.90.124.130,2020-01-31,727902,1514,70,104,202,179,195,764
80.90.160.135,2020-01-31,727902,1541,85,101,191,185,194,785
80.90.160.172,2020-01-31,727902,1586,80,123,186,191,195,811
80.93.177.182,2020-01-31,727902,61349,3101,3847,2971,2956,3376,45098
80.95.128.10,2020-01-30,727902,1633,94,127,216,188,222,786
80.95.160.2,2020-01-29,727902,30998,188,729,2726,2686,4524,20145
80.96.50.2,2020-01-30,727902,2080,106,255,261,225,236,997
80.96.202.1,2020-01-31,727902,11101,985,524,611,740,864,7377
80.96.202.245,2020-01-31,727902,11122,961,464,607,747,882,7461
80.97.51.5,2020-01-30,727902,2766,303,243,280,303,276,1361
80.97.176.2,2020-01-30,727902,1707,78,150,211,204,196,868
80.97.176.3,2020-01-31,727902,1706,72,157,209,189,215,864
80.118.192.100,2020-01-31,727902,40574,2229,3402,3770,3423,5746,22004
80.118.192.111,2020-01-31,727902,41365,2684,3529,3604,3612,5913,22023
80.118.196.36,2020-01-31,727902,41069,1979,3560,4269,3652,6220,21389
80.118.196.40,2020-01-31,727902,40951,2116,3581,4146,3712,6196,21200
80.118.196.41,2020-01-31,727902,41230,2113,3568,4193,3726,6279,21351
80.118.196.42,2020-01-31,727902,40885,2111,3574,4055,3756,6287,21102
80.122.173.246,2020-01-29,727902,5095,140,452,531,511,560,2901
80.190.190.1,2020-01-31,727902,1579,70,122,203,190,202,792
80.191.15.10,2020-01-31,727902,1474,61,111,153,173,181,795
80.199.84.238,2020-01-31,727902,86234,2443,4192,7195,13318,20137,38949
80.227.2.3,2020-01-30,727902,1567,108,109,202,201,181,766
80.227.2.4,2020-01-30,727902,1558,108,117,199,197,180,757
80.231.195.18,2020-01-27,727902,1484,70,125,181,179,195,734
80.232.169.11,2020-01-30,727902,1515,72,97,186,174,216,770
80.237.7.1,2020-01-29,727902,1893,93,155,219,225,209,992
80.237.81.250,2020-01-30,727902,2314,94,130,266,226,271,1327
80.239.207.176,2020-01-28,727902,89524,1021,3042,6764,10621,21390,46686
80.242.32.2,2020-01-31,727902,6330,128,474,919,664,651,3494
80.243.64.67,2020-01-31,727902,8499,405,207,280,379,445,6783
80.243.68.34,2020-01-31,727902,1599,90,103,216,181,215,794
80.243.162.194,2020-01-31,727902,11073,270,700,885,1025,1111,7082
80.244.96.1,2020-01-31,727902,3849,319,384,600,403,395,1748
80.244.97.30,2020-01-31,727902,1569,86,106,184,201,191,801
80.244.244.244,2020-01-31,727902,26522,354,885,3291,3308,2709,15975
80.246.0.2,2020-01-31,727902,25190,354,465,979,1334,2444,19614
80.249.115.194,2020-01-31,727902,14010,451,665,1275,1696,2734,7189
80.250.194.66,2020-01-31,727902,1519,86,113,173,180,162,805
80.252.130.253,2020-01-31,727902,7924,960,980,758,722,699,3805
80.252.130.254,2020-01-31,727902,7924,932,1041,735,737,714,3765
80.254.5.142,2020-01-31,727902,31876,747,694,704,1113,3119,25499
80.254.77.39,2020-01-31,727902,183420,978,3004,9744,17378,42131,110185
80.254.79.157,2020-01-31,727902,184915,1147,3319,10458,18939,44207,106845
80.254.161.125,2020-01-31,727902,6034,155,333,505,593,751,3697
80.254.161.126,2020-01-31,727902,6254,148,315,528,612,828,3823
80.255.48.90,2020-01-31,727902,1525,63,103,193,176,197,793
80.255.60.210,2020-01-31,727902,1553,84,110,187,184,199,789
80.255.64.23,2020-01-30,727902,1609,114,141,184,208,172,790
80.255.64.24,2020-01-31,727902,1677,114,126,181,211,211,834
81.3.216.100,2020-01-31,727902,5441,394,440,547,558,562,2940
81.12.12.201,2020-01-30,727902,53709,1685,376,1041,1855,2844,45908
81.17.33.2,2020-01-28,727902,1610,79,129,170,214,216,802
81.17.66.13,2020-01-31,727902,175102,864,2718,13831,39874,51171,66644
81.17.72.70,2020-01-30,727902,50611,404,1114,3996,8258,10793,26046
81.18.129.252,2020-01-31,727902,7811,509,183,351,533,1141,5094
81.20.240.34,2020-01-31,727902,37549,694,451,890,1253,1911,32350
81.22.16.24,2020-01-31,727902,1717,95,137,200,182,203,900
81.26.228.2,2020-01-31,727902,1566,88,120,184,204,189,781
81.26.228.3,2020-01-31,727902,2140,633,170,207,201,165,764
81.27.48.130,2020-01-31,727902,2873,123,165,221,241,273,1850
81.27.192.33,2020-01-31,727902,6084,486,241,550,548,738,3521
81.27.192.97,2020-01-31,727902,6769,356,289,584,622,993,3925
81.28.112.2,2020-01-31,727902,1743,97,124,210,202,214,896
81.52.165.34,2020-01-31,727902,6235,276,254,450,542,631,4082
81.91.225.18,2020-01-31,727902,1647,80,116,201,205,194,851
81.93.64.1,2020-01-31,727902,1857,167,127,234,228,229,872
81.93.64.9,2020-01-31,727902,1830,155,127,203,218,233,894
81.95.160.34,2020-01-31,727902,2207,98,132,252,251,287,1187
81.167.36.3,2020-01-28,727902,2026,343,198,239,224,215,807
81.167.36.11,2020-01-29,727902,1757,243,166,198,209,204,737
81.169.127.10,2020-01-28,727902,8601,110,343,381,535,839,6393
81.169.127.13,2020-01-26,727902,8846,112,321,400,679,1016,6318
81.169.147.22,2020-01-31,727902,1529,77,127,208,168,191,758
81.169.172.219,2020-01-29,727902,1548,82,132,188,204,224,718
81.171.102.14,2020-01-31,727902,6812,262,378,592,797,1253,3530
81.173.194.68,2020-01-28,727902,1939,368,104,201,207,207,852
81.175.0.66,2020-01-27,727902,13304,821,1248,1400,1026,1163,7646
81.181.15.3,2020-01-31,727902,1572,71,122,193,173,184,829
81.196.44.23,2020-01-29,727902,1486,84,113,182,187,177,743
81.196.170.20,2020-01-24,727902,69036,672,2091,3052,2943,5653,54625
81.199.0.36,2020-01-31,727902,2171,84,116,214,223,223,1311
81.199.3.7,2020-01-29,727902,87961,550,2524,8305,11632,16288,48662
81.199.48.244,2020-01-31,727902,39116,477,233,605,973,1479,35349
81.200.0.1,2020-01-31,727902,1615,108,128,214,175,197,793
81.200.161.250,2020-01-30,727902,25892,834,2011,2115,1651,1716,17565
81.200.163.86,2020-01-31,727902,25828,790,2062,2071,1633,1678,17594
81.201.177.3,2020-01-31,727902,16247,297,727,1960,1109,1418,10736
81.201.178.4,2020-01-30,727902,15316,291,656,1807,1038,1400,10124
81.208.4.118,2020-01-31,727902,13251,559,1007,1851,1467,1832,6535
81.221.250.10,2020-01-31,727902,9656,921,937,734,823,1113,5128
81.221.252.10,2020-01-31,727902,9616,949,865,745,766,1119,5172
81.253.149.1,2020-01-31,727902,7521,1768,2081,1408,750,393,1121
82.103.129.98,2020-01-31,727902,1568,77,93,199,205,189,805
82.113.51.3,2020-01-31,727902,5855,111,315,544,491,556,3838
82.114.162.33,2020-01-31,727902,1534,116,98,192,182,192,754
82.114.162.34,2020-01-29,727902,1541,142,100,177,179,177,766
82.114.192.15,2020-01-31,727902,1554,83,113,181,173,191,813
82.116.159.160,2020-01-31,727902,14831,141,447,1744,2849,2037,7613
82.116.159.161,2020-01-20,727902,15083,153,480,1741,2924,1997,7788
82.137.200.83,2020-01-29,727902,1533,96,109,185,186,165,792
82.137.200.86,2020-01-29,727902,1536,84,135,210,185,176,746
82.139.8.7,2020-01-31,727902,15500,917,713,595,748,1050,11477
82.141.157.163,2020-01-31,727902,1483,77,90,181,192,184,759
82.146.118.12,2020-01-31,727902,21608,545,531,1367,3628,4887,10650
82.146.130.2,2020-01-31,727902,1531,77,109,182,179,187,797
82.146.130.130,2020-01-31,727902,1503,59,109,211,186,179,759
82.147.40.2,2020-01-31,727902,1498,94,125,173,180,206,720
82.148.223.100,2020-01-29,727902,2040,75,132,249,236,281,1067
82.151.90.1,2020-01-31,727902,87337,179,302,930,1811,3621,80494
82.180.0.166,2020-01-31,727902,1689,112,128,215,196,180,858
82.192.177.2,2020-01-31,727902,2558,159,245,384,525,247,998
82.195.157.15,2020-01-28,727902,16703,447,238,542,751,1200,13525
82.195.157.19,2020-01-31,727902,16819,476,246,542,786,1174,13595
82.195.224.5,2020-01-31,727902,14315,178,720,1266,1537,1760,8854
82.196.193.143,2020-01-30,727902,1815,281,128,203,202,176,825
82.196.201.43,2020-01-29,727902,1865,270,131,193,219,201,851
82.199.128.11,2020-01-31,727902,1610,80,123,195,208,218,786
82.199.128.12,2020-01-31,727902,1466,64,109,202,189,172,730
82.201.33.5,2020-01-29,727902,23413,918,1483,2280,3376,4419,10937
82.204.127.40,2020-01-29,727902,1531,103,142,175,192,165,754
82.205.224.9,2020-01-29,727902,15723,278,419,1613,2441,1887,9085
82.206.129.20,2020-01-30,727902,1529,71,108,197,177,205,771
82.207.69.34,2020-01-29,727902,3327,194,182,307,318,337,1989
82.208.143.25,2020-01-30,727902,1554,86,130,196,190,195,757
82.209.195.12,2020-01-31,727902,1917,349,123,196,231,203,815
82.209.200.16,2020-01-29,727902,3423,358,230,427,351,335,1722
82.209.213.60,2020-01-31,727902,18398,473,1281,1343,1075,1254,12972
82.211.140.2,2020-01-31,727902,2757,82,112,283,361,322,1597
82.211.176.2,2020-01-30,727902,1541,75,112,197,192,181,784
82.216.111.121,2020-01-31,727902,184658,1896,6058,15056,30388,55846,75414
82.216.111.122,2020-01-29,727902,186637,2039,6393,15791,31282,56612,74520
82.216.111.124,2020-01-30,727902,6157,131,203,495,564,609,4155
83.2.85.254,2020-01-31,727902,1763,98,192,177,212,196,888
83.64.177.250,2020-01-30,727902,4710,281,365,450,486,489,2639
83.98.255.11,2020-01-31,727902,1588,94,96,221,206,182,789
83.98.255.20,2020-01-31,727902,1546,90,97,148,204,207,800
83.102.9.37,2020-01-24,727902,1577,86,130,177,205,189,790
83.103.25.250,2020-01-29,727902,4277,1408,322,404,397,367,1379
83.125.8.1,2020-01-31,727902,19105,314,485,2093,2324,2072,11817
83.136.56.52,2020-01-31,727902,19357,1912,726,1189,1726,2144,11660
83.137.56.71,2020-01-31,727902,5749,133,230,933,648,721,3084
83.137.56.72,2020-01-30,727902,5681,126,224,922,613,736,3060
83.137.137.46,2020-01-30,727902,6497,137,351,646,632,874,3857
83.137.225.120,2020-01-31,727902,1567,79,114,218,202,205,749
83.137.225.121,2020-01-31,727902,7274,151,408,3199,2146,419,951
83.139.0.34,2020-01-27,727902,1509,63,101,196,183,186,780
83.142.86.1,2020-01-30,727902,29457,421,1375,4033,3142,2686,17800
83.143.8.249,2020-01-30,727902,39689,235,240,618,888,1499,36209
83.146.21.5,2020-01-31,727902,55130,1441,3569,7169,10757,8986,23208
83.146.21.6,2020-01-31,727902,55320,1450,3489,7216,10777,9025,23363
83.149.16.7,2020-01-31,727902,1478,81,92,212,179,194,720
83.149.24.244,2020-01-26,727902,1573,137,105,187,172,210,762
83.149.32.2,2020-01-31,727902,17606,645,1033,1407,987,1039,12495
83.149.33.2,2020-01-29,727902,17405,602,1021,1439,995,986,12362
83.149.52.66,2020-01-28,727902,1528,72,100,197,196,199,764
83.149.128.194,2020-01-29,727902,12909,560,766,1940,1295,1568,6780
83.169.184.161,2020-01-31,727902,4542,555,496,1190,928,352,1021
83.169.184.225,2020-01-31,727902,4669,568,537,1237,894,384,1049
83.170.64.19,2020-01-28,727902,1410,69,115,168,161,178,719
83.170.69.2,2020-01-29,727902,81789,3387,9142,15857,13534,11899,27970
83.217.192.2,2020-01-31,727902,18916,2287,1208,1094,1042,1216,12069
83.217.193.2,2020-01-29,727902,19136,2321,1201,1107,1035,1272,12200
83.218.143.36,2020-01-31,727902,3951,127,245,665,817,494,1603
83.222.161.130,2020-01-29,727902,26877,1195,628,895,1119,1648,21392
83.223.73.116,2020-01-27,727902,10432,537,618,1059,1084,1132,6002
83.224.65.134,2020-01-31,727902,1608,146,114,161,218,205,764
83.229.88.30,2020-01-26,727902,6788,92,129,322,414,524,5307
83.242.140.10,2020-01-25,727902,71294,5434,2059,2485,2841,4820,53655
83.243.5.253,2020-01-31,727902,4729,67,143,494,611,599,2815
84.2.46.1,2020-01-31,727902,1817,324,116,194,180,181,822
84.16.96.2,2020-01-26,727902,5399,179,403,740,570,534,2973
84.16.113.2,2020-01-29,727902,7151,346,568,754,755,796,3932
84.16.234.86,2020-01-30,727902,1538,89,135,183,191,189,751
84.19.188.171,2020-01-28,727902,20581,167,588,2052,2599,2773,12402
84.21.0.5,2020-01-31,727902,22651,777,1146,1654,1542,1872,15660
84.22.106.30,2020-01-31,727902,24208,159,548,2266,2033,2669,16533
84.36.0.250,2020-01-30,727902,1491,77,95,197,203,170,749
84.39.1.20,2020-01-29,727902,2420,238,145,237,268,268,1264
84.103.237.140,2020-01-31,727902,43968,1330,3010,4408,4250,6745,24225
84.103.237.141,2020-01-31,727902,46059,1628,3188,4589,4623,6959,25072
84.103.237.142,2020-01-31,727902,44434,1463,3078,4336,4382,6798,24377
84.103.237.143,2020-01-31,727902,43711,1261,2933,4407,4126,6508,24476
84.103.237.144,2020-01-31,727902,44169,1484,2994,4329,4341,6762,24259
84.103.237.145,2020-01-31,727902,44096,1364,2980,4365,4280,6871,24236
84.103.237.146,2020-01-31,727902,44364,1456,3059,4307,4274,7027,24241
84.103.237.147,2020-01-31,727902,45391,1388,3005,4556,4583,7122,24737
84.103.237.148,2020-01-31,727902,43796,1392,2928,4355,4111,6820,24190
84.199.73.100,2020-01-31,727902,19075,177,521,831,1221,1725,14600
84.201.225.1,2020-01-31,727902,2147,93,172,313,273,235,1061
84.203.180.250,2020-01-28,727902,1461,70,101,174,199,176,741
84.235.6.55,2020-01-31,727902,4412,2932,125,210,173,183,789
84.243.238.4,2020-01-30,727902,8425,62,214,969,635,871,5674
84.255.209.77,2020-01-30,727902,1512,80,116,171,195,208,742
84.255.210.77,2020-01-30,727902,1481,87,84,191,183,172,764
85.12.6.171,2020-01-31,727902,27399,441,1396,2367,2659,3908,16628
85.14.85.14,2020-01-29,727902,1494,77,120,177,175,171,774
85.28.195.129,2020-01-28,727902,1593,83,115,194,193,182,826
85.31.66.4,2020-01-31,727902,1615,89,127,185,176,209,829
85.31.80.20,2020-01-31,727902,2079,97,121,222,258,247,1134
85.37.17.4,2020-01-31,727902,10371,848,1363,2308,2055,1217,2580
85.37.17.5,2020-01-31,727902,10433,862,1407,2256,2018,1278,2612
85.37.17.6,2020-01-31,727902,10596,970,1469,2268,2012,1284,2593
85.37.17.7,2020-01-30,727902,10484,882,1477,2293,2094,1207,2531
85.37.17.8,2020-01-31,727902,10416,868,1467,2263,2018,1286,2514
85.37.17.9,2020-01-31,727902,10443,787,1340,2385,2020,1279,2632
85.37.17.10,2020-01-31,727902,10593,834,1466,2290,2051,1323,2629
85.37.17.11,2020-01-31,727902,10474,813,1500,2244,2089,1277,2551
85.37.17.12,2020-01-31,727902,10554,981,1505,2208,1971,1244,2645
85.37.17.13,2020-01-31,727902,10664,978,1469,2230,2094,1230,2663
85.37.17.14,2020-01-30,727902,10580,956,1505,2290,1989,1207,2633
85.37.17.15,2020-01-31,727902,10660,976,1434,2269,2061,1256,2664
85.37.17.16,2020-01-31,727902,10554,767,1436,2275,2102,1290,2684
85.37.17.17,2020-01-31,727902,10695,823,1415,2382,2055,1344,2676
85.37.17.39,2020-01-31,727902,10710,982,1424,2290,2089,1232,2693
85.37.17.40,2020-01-31,727902,10614,908,1462,2335,2035,1240,2634
85.37.17.41,2020-01-31,727902,10548,931,1490,2310,1990,1258,2569
85.37.17.42,2020-01-31,727902,10562,983,1467,2296,2033,1196,2587
85.37.17.43,2020-01-31,727902,10599,982,1449,2253,2008,1306,2601
85.37.17.44,2020-01-31,727902,10686,1001,1491,2266,1966,1287,2675
85.37.17.45,2020-01-31,727902,10430,936,1449,2210,1980,1221,2634
85.37.17.46,2020-01-31,727902,10497,955,1420,2284,2085,1208,2545
85.37.17.47,2020-01-31,727902,10596,992,1436,2286,2052,1232,2598
85.37.17.48,2020-01-30,727902,10637,1020,1413,2301,1965,1230,2708
85.37.17.49,2020-01-31,727902,10673,999,1432,2270,2044,1243,2685
85.37.17.50,2020-01-31,727902,10476,878,1443,2354,1993,1261,2547
85.37.17.51,2020-01-31,727902,10649,920,1453,2314,2106,1215,2641
85.37.17.52,2020-01-31,727902,10595,950,1488,2226,2103,1247,2581
85.37.17.55,2020-01-31,727902,10454,942,1413,2282,2006,1214,2597
85.37.17.56,2020-01-31,727902,10612,1068,1446,2280,1966,1265,2587
85.37.17.57,2020-01-31,727902,10527,960,1457,2264,2016,1273,2557
85.37.17.58,2020-01-31,727902,10691,998,1470,2264,2018,1269,2672
85.38.28.68,2020-01-31,727902,11996,1191,1974,2234,2219,1029,3349
85.38.28.69,2020-01-31,727902,12320,1287,2213,2253,2220,982,3365
85.38.28.70,2020-01-31,727902,12254,1229,2063,2182,2274,1007,3499
85.38.28.71,2020-01-31,727902,12566,1299,2235,2184,2284,1049,3515
85.38.28.72,2020-01-31,727902,12307,1216,2156,2168,2248,1063,3456
85.38.28.73,2020-01-31,727902,12410,1318,2195,2199,2327,986,3385
85.38.28.74,2020-01-31,727902,12362,1317,2180,2178,2283,1033,3371
85.38.28.75,2020-01-31,727902,12374,1197,2149,2251,2338,998,3441
85.38.28.76,2020-01-31,727902,12347,1328,2200,2226,2202,1085,3306
85.38.28.77,2020-01-31,727902,12129,1223,2170,2170,2242,997,3327
85.38.28.78,2020-01-31,727902,12193,1243,2215,2199,2240,997,3299
85.38.28.79,2020-01-31,727902,12392,1388,2198,2154,2263,1011,3378
85.38.28.80,2020-01-31,727902,12505,1381,2178,2250,2297,1020,3379
85.38.28.81,2020-01-31,727902,12611,1320,2256,2260,2304,1014,3457
85.38.28.82,2020-01-31,727902,12340,1301,2198,2225,2277,1001,3338
85.38.28.83,2020-01-31,727902,12611,1279,2294,2297,2306,1037,3398
85.38.28.84,2020-01-31,727902,12485,1249,2259,2200,2301,1122,3354
85.38.28.85,2020-01-31,727902,12493,1215,2208,2282,2312,1054,3422
85.38.28.86,2020-01-31,727902,12595,1400,2231,2251,2240,1094,3379
85.38.28.89,2020-01-31,727902,12577,1480,2128,2241,2329,1025,3374
85.38.28.90,2020-01-31,727902,12537,1375,2225,2278,2281,1020,3358
85.38.28.91,2020-01-31,727902,12570,1369,2290,2178,2310,994,3429
85.38.28.92,2020-01-31,727902,12657,1399,2236,2204,2314,983,3521
85.38.28.93,2020-01-31,727902,12521,1346,2238,2235,2301,1033,3368
85.38.28.95,2020-01-31,727902,12310,1156,2215,2288,2244,992,3415
85.38.28.96,2020-01-31,727902,12411,1340,2204,2236,2305,1003,3323
85.38.28.97,2020-01-31,727902,12270,1331,2178,2262,2249,1021,3229
85.38.28.98,2020-01-31,727902,12273,1369,2173,2223,2283,988,3237
85.90.229.188,2020-01-31,727902,17515,846,2078,3617,2743,1924,6307
85.91.1.129,2020-01-31,727902,1603,110,108,203,192,182,808
85.91.1.130,2020-01-28,727902,1620,134,115,194,184,202,791
85.94.64.10,2020-01-31,727902,1522,69,99,169,207,178,800
85.94.64.11,2020-01-30,727902,1660,76,134,208,205,198,839
85.114.32.7,2020-01-31,727902,1658,159,104,209,184,176,826
85.114.32.8,2020-01-31,727902,1660,165,120,188,218,177,792
85.118.96.73,2020-01-30,727902,8223,228,555,1288,642,657,4853
85.118.96.74,2020-01-31,727902,8443,257,540,1309,671,709,4957
85.119.136.158,2020-01-31,727902,178956,6161,8879,8697,13244,40739,101236
85.132.31.10,2020-01-31,727902,3010,160,229,378,356,364,1523
85.158.48.34,2020-01-25,727902,3155,137,433,400,390,340,1455
85.158.50.50,2020-01-29,727902,57652,3102,2590,1769,2024,3002,45165
85.158.210.68,2020-01-29,727902,26394,795,714,1958,2639,2772,17516
85.159.48.10,2020-01-26,727902,1567,116,107,208,196,189,751
85.172.0.250,2020-01-30,727902,23661,1146,2025,1195,966,1199,17130
85.196.169.4,2020-01-29,727902,1514,80,125,188,200,191,730
85.214.73.63,2020-01-29,727902,4652,431,283,358,389,412,2779
85.214.117.11,2020-01-27,727902,1585,88,120,197,189,203,788
85.233.58.60,2020-01-31,727902,1923,153,114,228,254,218,956
85.233.130.67,2020-01-31,727902,69367,1738,1808,1567,2260,3467,58527
85.233.144.10,2020-01-31,727902,68722,1710,1816,1548,2232,3467,57949
85.236.160.1,2020-01-24,727902,3665,194,303,567,358,371,1872
85.239.225.161,2020-01-30,727902,1558,70,125,196,199,203,765
86.51.1.2,2020-01-31,727902,2993,241,179,255,311,298,1709
86.51.1.3,2020-01-30,727902,1572,67,138,205,190,183,789
86.56.35.5,2020-01-29,727902,1460,72,104,184,168,173,759
86.62.0.3,2020-01-29,727902,2326,128,208,256,259,239,1236
86.63.129.29,2020-01-31,727902,4413,343,327,328,459,511,2445
86.64.145.140,2020-01-31,727902,45364,3022,3852,4190,4867,7527,21906
86.64.145.141,2020-01-31,727902,45663,3400,3901,4055,5005,7605,21697
86.64.145.142,2020-01-31,727902,45526,3419,3830,4022,4905,7739,21611
86.64.145.143,2020-01-31,727902,45658,3392,3942,4079,4979,7574,21692
86.64.145.144,2020-01-31,727902,44374,3039,3911,4014,4563,7211,21636
86.64.145.145,2020-01-31,727902,45603,3377,3852,4036,4921,7765,21652
86.64.145.146,2020-01-31,727902,45262,3210,3915,4057,4832,7581,21667
86.64.145.147,2020-01-31,727902,45311,3258,3853,4003,4779,7653,21765
86.64.145.148,2020-01-31,727902,45053,3203,3894,4006,4595,7550,21805
86.64.233.84,2020-01-28,727902,29324,1152,2229,2782,2288,4046,16827
86.106.4.1,2020-01-31,727902,1552,85,129,178,182,191,787
86.110.224.3,2020-01-31,727902,9697,859,785,702,822,903,5626
